trial_id,status,duration_s,cfg_bits,cfg_hidden_dim,cfg_layer_idx,cfg_layer_position,cfg_model,cfg_num_layers,metric_cosine_similarity,metric_kl_divergence,metric_mse,metric_outlier_pct,metric_sensitivity,metric_weight_range,metric_weight_std
quantization_sensitivity_t0101,completed,0.3863,8,1024,4,0.16666666666666666,24L-1024H,24,0.03836705535650253,0.030566973611712456,1.9232594966888428,0.09130239486694336,0.9616329446434975,8.425941467285156,0.038290008902549744
quantization_sensitivity_t0102,completed,0.3102,16,1024,4,0.16666666666666666,24L-1024H,24,1.0000004768371582,-4.656612873077393e-10,0.0,0.09130239486694336,-4.76837158203125e-07,8.425941467285156,0.038290008902549744
quantization_sensitivity_t0103,completed,0.3824,2,1024,5,0.20833333333333334,24L-1024H,24,0.003388077486306429,0.02890761010348797,1.9932174682617188,0.2712428569793701,0.9966119225136936,0.23368915915489197,0.022173313423991203
quantization_sensitivity_t0104,completed,0.3861,3,1024,5,0.20833333333333334,24L-1024H,24,0.06460633873939514,0.027337171137332916,1.8707811832427979,0.2712428569793701,0.9353936612606049,0.23368915915489197,0.022173313423991203
quantization_sensitivity_t0105,completed,0.3686,4,1024,5,0.20833333333333334,24L-1024H,24,0.25711843371391296,0.022061238065361977,1.4857583045959473,0.2712428569793701,0.742881566286087,0.23368915915489197,0.022173313423991203
quantization_sensitivity_t0106,completed,0.3851,6,1024,5,0.20833333333333334,24L-1024H,24,0.8782262802124023,0.0038031823933124542,0.2435472458600998,0.2712428569793701,0.12177371978759766,0.23368915915489197,0.022173313423991203
quantization_sensitivity_t0107,completed,0.3755,8,1024,5,0.20833333333333334,24L-1024H,24,0.9908575415611267,0.0002730651758611202,0.018285376951098442,0.2712428569793701,0.009142458438873291,0.23368915915489197,0.022173313423991203
quantization_sensitivity_t0108,completed,0.3203,16,1024,5,0.20833333333333334,24L-1024H,24,1.0000004768371582,-4.656612873077393e-10,0.0,0.2712428569793701,-4.76837158203125e-07,0.23368915915489197,0.022173313423991203
quantization_sensitivity_t0109,completed,0.3750,2,1024,6,0.25,24L-1024H,24,0.00776844285428524,0.0332203172147274,1.9844567775726318,0.2700924873352051,0.9922315571457148,0.24408850073814392,0.022619009017944336
quantization_sensitivity_t0110,completed,0.3853,3,1024,6,0.25,24L-1024H,24,0.053000837564468384,0.028152065351605415,1.8939920663833618,0.2700924873352051,0.9469991624355316,0.24408850073814392,0.022619009017944336
quantization_sensitivity_t0111,completed,0.3965,4,1024,6,0.25,24L-1024H,24,0.29866012930870056,0.02145082876086235,1.4026753902435303,0.2700924873352051,0.7013398706912994,0.24408850073814392,0.022619009017944336
quantization_sensitivity_t0112,completed,0.3706,6,1024,6,0.25,24L-1024H,24,0.8787150979042053,0.003642628900706768,0.24256987869739532,0.2700924873352051,0.12128490209579468,0.24408850073814392,0.022619009017944336
quantization_sensitivity_t0113,completed,0.3692,8,1024,6,0.25,24L-1024H,24,0.9919028282165527,0.00024370523169636726,0.016194751486182213,0.2700924873352051,0.008097171783447266,0.24408850073814392,0.022619009017944336
quantization_sensitivity_t0114,completed,0.3132,16,1024,6,0.25,24L-1024H,24,1.0000004768371582,-4.656612873077393e-10,0.0,0.2700924873352051,-4.76837158203125e-07,0.24408850073814392,0.022619009017944336
quantization_sensitivity_t0115,completed,0.3856,2,1024,7,0.2916666666666667,24L-1024H,24,0.02280903048813343,0.03087722696363926,1.9543755054473877,0.26869773864746094,0.9771909695118666,0.24137769639492035,0.023042071610689163
quantization_sensitivity_t0116,completed,0.3763,3,1024,7,0.2916666666666667,24L-1024H,24,0.07448850572109222,0.02757192589342594,1.8510169982910156,0.26869773864746094,0.9255114942789078,0.24137769639492035,0.023042071610689163
quantization_sensitivity_t0117,completed,0.3813,4,1024,7,0.2916666666666667,24L-1024H,24,0.3126864731311798,0.019787320867180824,1.3746227025985718,0.26869773864746094,0.6873135268688202,0.24137769639492035,0.023042071610689163
quantization_sensitivity_t0118,completed,0.3779,6,1024,7,0.2916666666666667,24L-1024H,24,0.885901927947998,0.0037167081609368324,0.22819587588310242,0.26869773864746094,0.11409807205200195,0.24137769639492035,0.023042071610689163
quantization_sensitivity_t0119,completed,0.3685,8,1024,7,0.2916666666666667,24L-1024H,24,0.9927058219909668,0.00022185221314430237,0.014588410034775734,0.26869773864746094,0.007294178009033203,0.24137769639492035,0.023042071610689163
quantization_sensitivity_t0120,completed,0.3206,16,1024,7,0.2916666666666667,24L-1024H,24,1.0000004768371582,-4.656612873077393e-10,0.0,0.26869773864746094,-4.76837158203125e-07,0.24137769639492035,0.023042071610689163
quantization_sensitivity_t0121,completed,0.3894,2,1024,8,0.3333333333333333,24L-1024H,24,-0.000819881446659565,0.03124825283885002,2.001633405685425,0.09009838104248047,1.0008198814466596,8.273118019104004,0.039400335401296616
quantization_sensitivity_t0122,completed,0.3703,3,1024,8,0.3333333333333333,24L-1024H,24,0.014099299907684326,0.03225475177168846,1.9717949628829956,0.09009838104248047,0.9859007000923157,8.273118019104004,0.039400335401296616
quantization_sensitivity_t0123,completed,0.3867,4,1024,8,0.3333333333333333,24L-1024H,24,-0.002338248770684004,0.03255271539092064,2.0046699047088623,0.09009838104248047,1.002338248770684,8.273118019104004,0.039400335401296616
quantization_sensitivity_t0124,completed,0.3753,6,1024,8,0.3333333333333333,24L-1024H,24,0.009091182611882687,0.033757951110601425,1.9818111658096313,0.09009838104248047,0.9909088173881173,8.273118019104004,0.039400335401296616
quantization_sensitivity_t0125,completed,0.3758,8,1024,8,0.3333333333333333,24L-1024H,24,0.14464697241783142,0.027005519717931747,1.710700511932373,0.09009838104248047,0.8553530275821686,8.273118019104004,0.039400335401296616
quantization_sensitivity_t0126,completed,0.3190,16,1024,8,0.3333333333333333,24L-1024H,24,1.0000004768371582,-4.656612873077393e-10,0.0,0.09009838104248047,-4.76837158203125e-07,8.273118019104004,0.039400335401296616
quantization_sensitivity_t0127,completed,0.3859,2,1024,9,0.375,24L-1024H,24,0.005296527873724699,0.03069261834025383,1.9894003868103027,0.268787145614624,0.9947034721262753,0.2657167315483093,0.023917093873023987
quantization_sensitivity_t0128,completed,0.3804,3,1024,9,0.375,24L-1024H,24,0.13402223587036133,0.027327608317136765,1.731950044631958,0.268787145614624,0.8659777641296387,0.2657167315483093,0.023917093873023987
quantization_sensitivity_t0129,completed,0.3764,4,1024,9,0.375,24L-1024H,24,0.43574079871177673,0.01823721081018448,1.1285147666931152,0.268787145614624,0.5642592012882233,0.2657167315483093,0.023917093873023987
quantization_sensitivity_t0130,completed,0.3796,6,1024,9,0.375,24L-1024H,24,0.9333788156509399,0.0021615303121507168,0.1332429051399231,0.268787145614624,0.06662118434906006,0.2657167315483093,0.023917093873023987
quantization_sensitivity_t0131,completed,0.3828,8,1024,9,0.375,24L-1024H,24,0.9955881834030151,0.0001260661520063877,0.008824564516544342,0.268787145614624,0.004411816596984863,0.2657167315483093,0.023917093873023987
quantization_sensitivity_t0132,completed,0.3122,16,1024,9,0.375,24L-1024H,24,1.0000004768371582,-4.656612873077393e-10,0.0,0.268787145614624,-4.76837158203125e-07,0.2657167315483093,0.023917093873023987
quantization_sensitivity_t0133,completed,0.3849,2,1024,10,0.4166666666666667,24L-1024H,24,0.031228454783558846,0.031263645738363266,1.9375369548797607,0.27143359184265137,0.9687715452164412,0.2633249759674072,0.024346230551600456
quantization_sensitivity_t0134,completed,0.3845,3,1024,10,0.4166666666666667,24L-1024H,24,0.15951064229011536,0.023876212537288666,1.6809731721878052,0.27143359184265137,0.8404893577098846,0.2633249759674072,0.024346230551600456
quantization_sensitivity_t0135,completed,0.3725,4,1024,10,0.4166666666666667,24L-1024H,24,0.5082572102546692,0.015804044902324677,0.9834821820259094,0.27143359184265137,0.4917427897453308,0.2633249759674072,0.024346230551600456
quantization_sensitivity_t0136,completed,0.3813,6,1024,10,0.4166666666666667,24L-1024H,24,0.9442291259765625,0.0017029400914907455,0.1115419864654541,0.27143359184265137,0.0557708740234375,0.2633249759674072,0.024346230551600456
quantization_sensitivity_t0137,completed,0.3789,8,1024,10,0.4166666666666667,24L-1024H,24,0.9964193105697632,0.00011073518544435501,0.0071617551147937775,0.27143359184265137,0.0035806894302368164,0.2633249759674072,0.024346230551600456
quantization_sensitivity_t0138,completed,0.3129,16,1024,10,0.4166666666666667,24L-1024H,24,1.0000004768371582,-4.656612873077393e-10,0.0,0.27143359184265137,-4.76837158203125e-07,0.2633249759674072,0.024346230551600456
quantization_sensitivity_t0139,completed,0.3793,2,1024,11,0.4583333333333333,24L-1024H,24,0.03883817046880722,0.029522154480218887,1.922317385673523,0.27297139167785645,0.9611618295311928,0.275942862033844,0.024773219600319862
quantization_sensitivity_t0140,completed,0.3836,3,1024,11,0.4583333333333333,24L-1024H,24,0.17844557762145996,0.027789603918790817,1.6431035995483398,0.27297139167785645,0.82155442237854,0.275942862033844,0.024773219600319862
quantization_sensitivity_t0141,completed,0.3742,4,1024,11,0.4583333333333333,24L-1024H,24,0.5156581401824951,0.015414299443364143,0.9686809182167053,0.27297139167785645,0.4843418598175049,0.275942862033844,0.024773219600319862
quantization_sensitivity_t0142,completed,0.3801,6,1024,11,0.4583333333333333,24L-1024H,24,0.9514463543891907,0.001580340787768364,0.0971076637506485,0.27297139167785645,0.048553645610809326,0.275942862033844,0.024773219600319862
quantization_sensitivity_t0143,completed,0.3869,8,1024,11,0.4583333333333333,24L-1024H,24,0.9966112375259399,0.00011205067858099937,0.006778446026146412,0.27297139167785645,0.0033887624740600586,0.275942862033844,0.024773219600319862
